Date,Close,Open,High,Low
05/30/2025,19783.81,19743.85,19824.37,19613.92
05/29/2025,19743.85,19678.94,19750.83,19603.81
05/28/2025,19678.94,19829.89,19829.89,19655.42
05/27/2025,19829.89,19534.84,19838.76,19534.84
05/23/2025,19534.84,19564.71,19587.79,19390.86
05/22/2025,19564.71,19607.81,19659.59,19476.69
05/21/2025,19607.81,19942.21,19942.21,19592.14
05/20/2025,19942.21,19975.09,19993.74,19870.99
05/19/2025,19975.09,19934.06,19981.26,19782.47
05/16/2025,19934.06,19784.69,19934.06,19754.71
05/15/2025,19784.69,19628.46,19791.56,19585.90
05/14/2025,19628.46,19723.38,19742.75,19598.03
05/13/2025,19723.38,19711.55,19794.42,19675.29
05/12/2025,19711.55,19319.20,19716.90,19319.20
05/09/2025,19319.20,19314.18,19406.62,19292.86
05/08/2025,19314.18,19262.38,19491.18,19262.38
05/07/2025,19262.38,19182.16,19332.33,19176.86
05/06/2025,19182.16,19303.23,19310.66,19138.41
05/05/2025,19303.23,19386.68,19400.55,19253.81
05/02/2025,19386.68,19049.84,19420.79,19049.84
05/01/2025,19049.84,19114.24,19191.12,19032.87
04/30/2025,19114.24,19089.21,19149.94,18753.59
04/29/2025,19089.21,18971.73,19130.84,18924.72
04/28/2025,18971.73,18899.80,19030.68,18822.43
04/25/2025,18899.80,18895.41,18909.46,18743.76
04/24/2025,18895.41,18631.09,18918.29,18600.12
04/23/2025,18631.09,18455.14,18944.28,18455.14
04/22/2025,18455.14,18032.37,18491.26,18032.37
04/21/2025,18032.37,18367.12,18367.12,17857.80
04/17/2025,18367.12,18245.65,18514.98,18245.65
04/16/2025,18245.65,18430.04,18503.18,18124.48
04/15/2025,18430.04,18432.25,18604.06,18421.55
04/14/2025,18432.25,18219.65,18521.09,18219.65
04/11/2025,18219.65,17890.57,18278.20,17780.59
04/10/2025,17890.57,18398.48,18398.48,17441.03
04/09/2025,18398.48,17188.46,18484.44,16925.60
04/08/2025,17188.46,17438.64,18002.57,16956.31
04/07/2025,17438.64,17618.61,18021.29,16820.11
04/04/2025,17618.61,18767.19,18767.19,17583.70
04/03/2025,18767.19,19532.74,19532.74,18758.31
04/02/2025,19532.74,19398.28,19563.23,19258.07
04/01/2025,19398.28,19395.86,19463.54,19204.15
03/31/2025,19395.86,19270.30,19471.92,19044.55
03/28/2025,19270.30,19534.72,19534.72,19227.11
03/27/2025,19534.72,19585.83,19631.86,19448.85
03/26/2025,19585.83,19678.44,19741.66,19529.37
03/25/2025,19678.44,19704.21,19772.26,19615.99
03/24/2025,19704.21,19454.30,19724.24,19454.30
03/21/2025,19454.30,19537.27,19537.27,19308.69
03/20/2025,19537.27,19581.32,19617.66,19446.48
03/19/2025,19581.32,19421.58,19663.59,19417.75
03/18/2025,19421.58,19494.71,19495.67,19348.40
03/17/2025,19494.71,19231.35,19551.03,19231.35
03/14/2025,19231.35,18875.53,19245.38,18875.53
03/13/2025,18875.53,19051.64,19068.20,18818.53
03/12/2025,19051.64,19052.13,19185.92,18912.91
03/11/2025,19052.13,19202.38,19202.38,18930.06
03/10/2025,19202.38,19573.06,19573.06,19052.78
03/07/2025,19573.06,19506.34,19607.91,19291.71
03/06/2025,19506.34,19754.57,19754.57,19428.01
03/05/2025,19754.57,19495.56,19794.69,19495.56
03/04/2025,19495.56,19823.48,19823.48,19383.39
03/03/2025,19823.48,20028.19,20161.90,19714.45
02/28/2025,20028.19,19808.15,20035.83,19730.95
02/27/2025,19808.15,19932.85,20042.99,19803.33
02/26/2025,19932.85,19924.05,20080.90,19889.24
02/25/2025,19924.05,19859.20,19990.90,19775.61
02/24/2025,19859.20,19881.53,19958.75,19796.34
02/21/2025,19881.53,20149.85,20149.85,19847.62
02/20/2025,20149.85,20228.20,20228.20,20044.45
02/19/2025,20228.20,20240.39,20240.39,20144.28
02/18/2025,20240.39,20130.49,20240.59,20130.49
02/14/2025,20130.49,20181.29,20239.27,20120.80
02/13/2025,20181.29,20062.31,20190.87,20034.32
02/12/2025,20062.31,20168.21,20168.21,19955.46
02/11/2025,20168.21,20117.88,20180.56,20049.38
02/10/2025,20117.88,20039.48,20143.46,20039.48
02/07/2025,20039.48,20157.58,20230.83,20034.62
02/06/2025,20157.58,20128.89,20211.00,20056.98
02/05/2025,20128.89,19964.61,20130.17,19964.61
02/04/2025,19964.61,19870.33,19990.67,19870.33
02/03/2025,19870.33,19998.82,19998.82,19639.32
01/31/2025,19998.82,20166.22,20212.19,19984.11
01/30/2025,20166.22,19927.47,20218.73,19927.47
01/29/2025,19927.47,19970.63,20057.66,19881.72
01/28/2025,19970.63,19980.00,20009.48,19903.22
01/27/2025,19980.00,19997.47,19997.47,19839.44
01/24/2025,19997.47,19978.78,20047.14,19966.44
01/23/2025,19978.78,19827.62,19978.78,19827.62
01/22/2025,19827.62,19893.59,19927.77,19821.97
01/21/2025,19893.59,19607.37,19897.26,19607.37
01/17/2025,19607.37,19548.63,19673.71,19548.63
01/16/2025,19548.63,19422.71,19570.63,19408.48
01/15/2025,19422.71,19176.65,19461.63,19176.65
01/14/2025,19176.65,19047.33,19187.05,19026.41
01/13/2025,19047.33,18963.01,19050.29,18857.22
01/10/2025,18963.01,19240.74,19240.74,18941.51
01/08/2025,19240.74,19213.88,19245.12,19080.19
01/07/2025,19213.88,19261.42,19383.49,19157.17
01/06/2025,19261.42,19254.29,19426.84,19236.48
01/03/2025,19254.29,19095.42,19276.70,19095.42
01/02/2025,19095.42,19097.10,19254.72,19014.41
12/31/2024,19097.10,19077.93,19175.46,19036.24
12/30/2024,19077.93,19238.48,19238.48,18953.55
12/27/2024,19238.48,19364.50,19365.62,19156.28
12/26/2024,19364.50,19341.48,19387.38,19282.11
12/24/2024,19341.48,19207.11,19341.83,19189.24
12/23/2024,19207.11,19119.44,19221.98,19009.57
12/20/2024,19119.44,18958.21,19246.41,18860.61
12/19/2024,18958.21,18986.96,19191.93,18956.00
12/18/2024,18986.96,19517.61,19563.27,18983.13
12/17/2024,19517.61,19627.68,19627.68,19484.49
12/16/2024,19627.68,19729.37,19773.05,19615.71
12/13/2024,19729.37,19769.09,19792.15,19699.23
12/12/2024,19769.09,19891.03,19898.00,19769.08
12/11/2024,19891.03,19881.90,19946.68,19877.12
12/10/2024,19881.90,20006.26,20006.26,19870.31
12/09/2024,20006.26,20107.79,20180.95,20005.39
12/06/2024,20107.79,20157.44,20223.48,20083.94
12/05/2024,20157.44,20188.60,20237.80,20153.90
12/04/2024,20188.60,20185.81,20218.97,20130.69
12/03/2024,20185.81,20213.22,20270.40,20158.07
12/02/2024,20213.22,20272.04,20315.58,20158.43
11/29/2024,20272.04,20209.82,20332.50,20209.82
11/27/2024,20209.82,20219.45,20303.83,20198.76
11/26/2024,20219.45,20220.36,20235.51,20125.31
11/25/2024,20220.36,20123.45,20300.16,20123.45
11/22/2024,20123.45,19968.30,20132.48,19968.30
11/21/2024,19968.30,19749.13,20008.83,19749.13
11/20/2024,19749.13,19718.25,19760.27,19623.96
11/19/2024,19718.25,19718.42,19740.44,19566.05
11/18/2024,19718.42,19645.77,19746.51,19626.54
11/15/2024,19645.77,19733.58,19733.58,19609.45
11/14/2024,19733.58,19845.42,19897.94,19720.80
11/13/2024,19845.42,19853.29,19929.61,19817.16
11/12/2024,19853.29,20015.87,20015.87,19799.74
11/11/2024,20015.87,19937.13,20084.53,19937.13
11/08/2024,19937.13,19876.10,19990.34,19850.29
11/07/2024,19876.10,19828.00,19924.09,19828.00
11/06/2024,19828.00,19463.79,19846.63,19463.79
11/05/2024,19463.79,19243.39,19464.31,19243.39
11/04/2024,19243.39,19253.54,19337.93,19196.39
11/01/2024,19253.54,19238.95,19423.21,19238.95
10/31/2024,19238.95,19416.27,19416.27,19236.63
10/30/2024,19416.27,19456.69,19506.10,19362.38
10/29/2024,19456.69,19549.67,19549.67,19452.70
10/28/2024,19549.67,19456.27,19575.91,19456.27
10/25/2024,19456.27,19560.73,19648.74,19438.80
10/24/2024,19560.73,19594.24,19620.02,19496.22
10/23/2024,19594.24,19653.36,19653.36,19493.42
10/22/2024,19653.36,19720.32,19720.32,19579.84
10/21/2024,19720.32,19884.81,19884.81,19690.32
10/18/2024,19884.81,19855.26,19905.65,19808.99
10/17/2024,19855.26,19825.49,19901.49,19825.49
10/16/2024,19825.49,19678.71,19838.29,19678.71
10/15/2024,19678.71,19814.55,19814.55,19669.80
10/14/2024,19814.55,19711.22,19834.18,19690.54
10/11/2024,19711.22,19496.01,19719.61,19496.01
10/10/2024,19496.01,19547.09,19547.09,19452.91
10/09/2024,19547.09,19435.03,19560.92,19388.12
10/08/2024,19435.03,19432.30,19452.82,19370.30
10/07/2024,19432.30,19538.68,19538.68,19367.29
10/04/2024,19538.68,19387.68,19541.03,19387.68
10/03/2024,19387.68,19481.79,19481.79,19317.15
10/02/2024,19481.79,19473.93,19506.25,19403.84
10/01/2024,19473.93,19516.44,19529.07,19384.83
09/30/2024,19516.44,19501.22,19526.69,19352.42
09/27/2024,19501.22,19501.72,19597.32,19484.75
09/26/2024,19501.72,19381.18,19527.82,19381.18
09/25/2024,19381.18,19506.55,19528.59,19363.21
09/24/2024,19506.55,19445.43,19519.34,19445.43
09/23/2024,19445.43,19373.74,19458.77,19373.74
09/20/2024,19373.74,19432.42,19432.42,19297.87
09/19/2024,19432.42,19195.56,19471.24,19195.56
09/18/2024,19195.56,19225.78,19400.35,19185.97
09/17/2024,19225.78,19256.38,19331.59,19176.51
09/16/2024,19256.38,19121.50,19265.16,19121.50
09/13/2024,19121.50,18987.90,19161.17,18987.90
09/12/2024,18987.90,18866.63,19001.12,18806.23
09/11/2024,18866.63,18822.22,18876.86,18513.07
09/10/2024,18822.22,18859.69,18892.24,18684.90
09/09/2024,18859.69,18663.14,18932.64,18663.14
09/06/2024,18663.14,18878.02,18970.69,18639.83
09/05/2024,18878.02,19001.92,19040.53,18819.28
09/04/2024,19001.92,19017.42,19092.99,18946.12
09/03/2024,19017.42,19292.23,19292.23,18954.16
08/30/2024,19292.23,19149.54,19298.03,19088.49
08/29/2024,19149.54,19064.43,19237.06,19053.17
08/28/2024,19064.43,19119.31,19150.19,18985.21
08/27/2024,19119.31,19100.40,19127.43,19069.54
08/26/2024,19100.40,19093.48,19184.72,19086.15
08/23/2024,19093.48,18850.85,19099.53,18850.85
08/22/2024,18850.85,18902.50,18945.86,18810.19
08/21/2024,18902.50,18802.24,18913.90,18802.24
08/20/2024,18802.24,18882.04,18883.11,18770.98
08/19/2024,18882.04,18753.77,18882.11,18753.77
08/16/2024,18753.77,18706.52,18769.86,18673.96
08/15/2024,18706.52,18498.09,18728.96,18498.09
08/14/2024,18498.09,18402.31,18521.40,18402.31
08/13/2024,18402.31,18206.39,18411.97,18206.39
08/12/2024,18206.39,18267.15,18302.31,18177.31
08/09/2024,18267.15,18186.12,18305.02,18119.15
08/08/2024,18186.12,17838.81,18202.53,17838.81
08/07/2024,17838.81,17922.55,18180.05,17833.89
08/06/2024,17922.55,17725.18,18108.30,17725.18
08/05/2024,17725.18,18162.26,18162.26,17561.50
08/02/2024,18162.26,18493.23,18493.23,17991.03
08/01/2024,18493.23,18710.01,18781.85,18402.82
07/31/2024,18710.01,18580.58,18841.48,18580.58
07/30/2024,18580.58,18539.37,18627.15,18491.89
07/29/2024,18539.37,18564.48,18588.42,18479.62
07/26/2024,18564.48,18344.46,18626.88,18344.46
07/25/2024,18344.46,18308.42,18559.25,18289.65
07/24/2024,18308.42,18518.34,18518.34,18299.74
07/23/2024,18518.34,18539.14,18575.99,18503.96
07/22/2024,18539.14,18406.05,18544.72,18386.24
07/19/2024,18406.05,18513.74,18520.92,18391.37
07/18/2024,18513.74,18712.48,18798.92,18472.64
07/17/2024,18712.48,18781.22,18791.96,18688.44
07/16/2024,18781.22,18525.09,18786.40,18525.09
07/15/2024,18525.09,18505.92,18609.51,18504.93
07/12/2024,18505.92,18379.74,18591.42,18379.74
07/11/2024,18379.74,18215.18,18390.05,18215.18
07/10/2024,18215.18,18048.58,18217.89,18048.58
07/09/2024,18048.58,18087.87,18127.43,18022.68
07/08/2024,18087.87,18098.90,18173.47,18061.21
07/05/2024,18098.90,18091.65,18109.56,18001.75
07/03/2024,18091.65,18028.17,18138.31,18028.17
07/02/2024,18028.17,17957.05,18030.19,17928.85
07/01/2024,17957.05,18026.50,18123.53,17931.66
06/28/2024,18026.50,18009.09,18114.80,17953.28
06/27/2024,18009.09,17993.79,18025.69,17946.82
06/26/2024,17993.79,18051.00,18051.00,17940.03
06/25/2024,18051.00,18126.69,18126.69,17985.23
06/24/2024,18126.69,17995.69,18189.42,17995.69
06/21/2024,17995.69,18015.95,18015.95,17909.89
06/20/2024,18015.95,17967.85,18049.52,17966.74
06/18/2024,17967.85,17902.25,17998.71,17902.25
06/17/2024,17902.25,17817.26,17921.65,17762.02
06/14/2024,17817.26,17923.41,17923.41,17713.48
06/13/2024,17923.41,18005.95,18005.95,17832.42
06/12/2024,18005.95,17919.11,18144.67,17919.11
06/11/2024,17919.11,18037.53,18037.53,17827.38
06/10/2024,18037.53,17985.63,18055.06,17919.93
06/07/2024,17985.63,18066.57,18099.61,17961.61
06/06/2024,18066.57,18045.50,18102.92,18015.61
06/05/2024,18045.50,17934.49,18045.94,17906.73
06/04/2024,17934.49,18006.96,18006.96,17843.40
06/03/2024,18006.96,18083.69,18105.93,17862.58
